NombreEstacion;Parametro;Fecha;Valor;Ciudad;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;31/05/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;1/06/2010 0:00;18.1;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;2/06/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;3/06/2010 0:00;17.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;4/06/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;5/06/2010 0:00;18.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;6/06/2010 0:00;19.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;7/06/2010 0:00;18.1;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;8/06/2010 0:00;19;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;9/06/2010 0:00;17.5;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;10/06/2010 0:00;18.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;11/06/2010 0:00;17.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;12/06/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;13/06/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;14/06/2010 0:00;17.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;15/06/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;16/06/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;17/06/2010 0:00;17.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;18/06/2010 0:00;17.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;19/06/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;20/06/2010 0:00;17.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;21/06/2010 0:00;16.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;22/06/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;23/06/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;24/06/2010 0:00;17.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;25/06/2010 0:00;17.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;26/06/2010 0:00;18.1;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;27/06/2010 0:00;18.3;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;28/06/2010 0:00;17.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;29/06/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;30/06/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;1/07/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;2/07/2010 0:00;17.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;3/07/2010 0:00;18.5;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;4/07/2010 0:00;17.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;5/07/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;6/07/2010 0:00;18.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;7/07/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;8/07/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;9/07/2010 0:00;18.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;10/07/2010 0:00;18.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;11/07/2010 0:00;17.5;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;12/07/2010 0:00;17.6;Medellin;;;;
